#exposure,usb_transfer_done,sent_to_basalt,flushed,cam_index,source_sequence
619466883650,619472518834,619472902515,619484816962,0,25
619466883650,619472518834,619473849392,619484816962,1,25
619478442342,619483505320,619483869243,619506853632,0,26
619478442342,619483505320,619485292805,619506853632,1,26
619500555122,619505729101,619505799864,619540375533,0,28
619500555122,619505729101,619506917291,619540375533,1,28
619533708686,619539252535,619539328498,619573076824,0,31
619533708686,619539252535,619540445455,619573076824,1,31
619566869716,619571974775,619572040188,619606008678,0,34
619566869716,619571974775,619573139401,619606008678,1,34
619600519080,619605287624,619605350292,619639725375,0,37
619600519080,619605287624,619606074662,619639725375,1,37
619633662718,619638661477,619638731429,619672663951,0,40
619633662718,619638661477,619639819411,619672663951,1,40
619666824754,619671851546,619671910687,619705754342,0,43
619666824754,619671851546,619672739112,619705754342,1,43
619700471478,619705105284,619705161740,619739247860,0,46
619700471478,619705105284,619705816228,619739247860,1,46
619733607725,619738401882,619738476222,619772453829,0,49
619733607725,619738401882,619739322290,619772453829,1,49
619766753563,619771728417,619771818907,619806198087,0,52
619766753563,619771728417,619772542194,619806198087,1,52
619799903129,619805328405,619805426549,619839107579,0,55
619799903129,619805328405,619806289840,619839107579,1,55
619833556101,619838248516,619838353784,619872180117,0,58
619833556101,619838248516,619839178372,619872180117,1,58
619866711539,619871495351,619871574800,619905655431,0,61
619866711539,619871495351,619872245079,619905655431,1,61
619899854986,619904910142,619905017924,619939140543,0,64
619899854986,619904910142,619905728438,619939140543,1,64
619933486410,619938261843,619938366590,619972351931,0,67
619933486410,619938261843,619939221525,619972351931,1,67
619966654138,619971488210,619971584370,620005595060,0,70
619966654138,619971488210,619972426081,620005595060,1,70
619999810999,620004773357,620004866542,620038715587,0,73
619999810999,620004773357,620005662526,620038715587,1,73
620032954541,620037970258,620038032816,620072191683,0,76
620032954541,620037970258,620038778135,620072191683,1,76
620066585594,620071323312,620071383976,620105718704,0,79
620066585594,620071323312,620072274588,620105718704,1,79
620099727627,620104694120,620104766726,620138734976,0,82
620099727627,620104694120,620105795297,620138734976,1,82
620132863804,620137864952,620137926358,620171997410,0,85
620132863804,620137864952,620138836416,620171997410,1,85
620166505083,620171189193,620171252251,620205342660,0,88
620166505083,620171189193,620172102096,620205342660,1,88
620199646425,620204489969,620204552196,620238610545,0,91
620199646425,620204489969,620205434242,620238610545,1,91
620232793914,620237744809,620237804281,620271914356,0,94
620232793914,620237744809,620238704240,620271914356,1,94
620265935300,620271061355,620271133470,620305202859,0,97
620265935300,620271061355,620272019173,620305202859,1,97
620299576019,620304350058,620304422795,620338434185,0,100
620299576019,620304350058,620305290363,620338434185,1,100
620332710244,620337599468,620337661615,620371744579,0,103
620332710244,620337599468,620338524795,620371744579,1,103
620365850181,620370920923,620370989472,620405342954,0,106
620365850181,620370920923,620371828547,620405342954,1,106
620399499778,620404329291,620404382742,620438306057,0,109
620399499778,620404329291,620405439516,620438306057,1,109
620432642055,620437444510,620437510564,620471648882,0,112
620432642055,620437444510,620438388782,620471648882,1,112
620465797778,620470821488,620470881311,620504813031,0,115
620465797778,620470821488,620471740153,620504813031,1,115
620498944130,620504064095,620504139808,620538185592,0,118
620498944130,620504064095,620504889245,620538185592,1,118
620532582704,620537332240,620537390319,620571479806,0,121
620532582704,620537332240,620538284869,620571479806,1,121
620565722316,620570633858,620570683161,620604840014,0,124
620565722316,620570633858,620571570847,620604840014,1,124
620598874692,620603938301,620603997773,620637982924,0,127
620598874692,620603938301,620604915095,620637982924,1,127
620632512348,620637229550,620637276828,620671632545,0,130
620632512348,620637229550,620638084945,620671632545,1,130
620665641981,620670779193,620670838625,620704836600,0,133
620665641981,620670779193,620671738935,620704836600,1,133
620698790034,620703800214,620703853735,620737900341,0,136
620698790034,620703800214,620704938922,620737900341,1,136
620731936464,620737118533,620737165111,620771211627,0,139
620731936464,620737118533,620737976845,620771211627,1,139
620765579530,620770373243,620770423608,620804435228,0,142
620765579530,620770373243,620771301656,620804435228,1,142
620798736280,620803682846,620803742638,620837784836,0,145
620798736280,620803682846,620804512413,620837784836,1,145
