#exposure,usb_transfer_done,sent_to_basalt,flushed,cam_index,source_sequence
1068291555268,1068296652645,1068296723388,1068331068758,0,25
1068291555268,1068296652645,1068297665246,1068331068758,1,25
1068325240312,1068329962782,1068330194687,1068364098288,0,28
1068325240312,1068329962782,1068331608211,1068364098288,1,28
1068358396803,1068363232483,1068363290832,1068390324556,0,31
1068358396803,1068363232483,1068364160685,1068390324556,1,31
1068391561429,1068396528093,1068396579209,1068430772934,0,34
1068391561429,1068396528093,1068397440115,1068430772934,1,34
1068425228781,1068429859980,1068429904484,1068463679854,0,37
1068425228781,1068429859980,1068430835121,1068463679854,1,37
1068458369522,1068463095287,1068463139470,1068496937132,0,40
1068458369522,1068463095287,1068463737402,1068496937132,1,40
1068491510876,1068496358495,1068496396567,1068530294187,0,43
1068491510876,1068496358495,1068497029084,1068530294187,1,43
1068524658508,1068529719017,1068529759172,1068563598132,0,46
1068524658508,1068529719017,1068530350473,1068563598132,1,46
1068558292469,1068562960335,1068563009938,1068596828880,0,49
1068558292469,1068562960335,1068563684023,1068596828880,1,49
1068591436386,1068596256335,1068596293825,1068630169454,0,52
1068591436386,1068596256335,1068596927315,1068630169454,1,52
1068624574897,1068629567714,1068629622387,1068663548069,0,55
1068624574897,1068629567714,1068630243453,1068663548069,1,55
1068658220469,1068662943154,1068663031059,1068696752107,0,58
1068658220469,1068662943154,1068663625365,1068696752107,1,58
1068691373692,1068696114430,1068696203397,1068730479257,0,61
1068691373692,1068696114430,1068696824403,1068730479257,1,61
1068724527833,1068729630233,1068729923423,1068763290387,0,64
1068724527833,1068729630233,1068730543658,1068763290387,1,64
1068757666269,1068762663550,1068762739884,1068796619680,0,67
1068757666269,1068762663550,1068763350911,1068796619680,1,67
1068791307879,1068795992412,1068796070679,1068829896224,0,70
1068791307879,1068795992412,1068796680654,1068829896224,1,70
1068824444918,1068829288423,1068829361460,1068863501595,0,73
1068824444918,1068829288423,1068829959693,1068863501595,1,73
1068857586213,1068862572300,1068862644085,1068896609212,0,76
1068857586213,1068862572300,1068863564263,1068896609212,1,76
1068891248827,1068895987244,1068896154578,1068929920761,0,79
1068891248827,1068895987244,1068896660157,1068929920761,1,79
1068924410528,1068929311177,1068929370829,1068962931787,0,82
1068924410528,1068929311177,1068929987206,1068962931787,1,82
1068957545923,1068962453990,1068962496289,1068996387467,0,85
1068957545923,1068962453990,1068963004874,1068996387467,1,85
1068990689442,1068995751433,1068995816284,1069029635627,0,88
1068990689442,1068995751433,1068996475292,1069029635627,1,88
