#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z [],v_RS_R_x [m s^-1],v_RS_R_y [m s^-1],v_RS_R_z [m s^-1],w_RS_R_x [rad s^-1],w_RS_R_y [rad s^-1],w_RS_R_z [rad s^-1]
3743956783894,0.0000000000,0.0000000000,0.0000000000,0.7056595736,-0.7081127218,-0.0249186567,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3743990073194,-0.0000079260,-0.0000161729,-0.0000281599,0.7056862948,-0.7080868121,-0.0248981906,-0.0000022337,-0.0004043765,-0.0009638369,-0.0017537773,0.0022385970,0.0008126486,-0.0009265976
3744023360894,-0.0000268273,-0.0000704605,-0.0001228177,0.7057320012,-0.7080416810,-0.0248861501,0.0000069029,-0.0007937932,-0.0022236407,-0.0039448440,0.0038443657,0.0009675774,-0.0000573412
3744056650894,-0.0000563942,-0.0001634979,-0.0002866802,0.7057658036,-0.7080083686,-0.0248752949,0.0000089903,-0.0009614648,-0.0034416020,-0.0060316324,0.0028471682,0.0005995997,-0.0003234622
3744089938594,-0.0000851991,0.0001827325,-0.0009271552,0.7049889878,-0.7088574483,-0.0224882523,0.0024338322,0.0032975981,0.0004896243,-0.0106839547,-0.0726746637,0.2032088411,0.0000126296
3744123228294,-0.0003601403,-0.0003819225,-0.0006441593,0.7057046245,-0.7080286692,-0.0259836314,-0.0011123576,-0.0055767987,-0.0052988902,-0.0078022084,0.0708822512,-0.2979815249,-0.0003246146
3744156518894,-0.0003310274,-0.0002834015,-0.0004663418,0.7019440435,-0.7118120691,-0.0244505663,0.0005548037,-0.0010443582,0.0057224883,-0.0069130752,-0.3228662551,0.1302948118,-0.0006860972
3744189806994,-0.0001575467,-0.0002507883,-0.0006246741,0.7020911213,-0.7116612426,-0.0246189708,0.0004892563,-0.0002786483,0.0067245425,-0.0069669401,0.0127528859,-0.0096844317,0.0046543957
3744223094894,-0.0002435232,-0.0003915901,-0.0001583252,0.7022888596,-0.7114464575,-0.0251851061,-0.0000783681,-0.0026308957,0.0063258889,-0.0053451140,0.0183714024,-0.0478529265,0.0005745949
3744256387594,-0.0001789365,-0.0003366919,-0.0002657763,0.7022827575,-0.7114699190,-0.0246842512,0.0004130964,-0.0001486257,0.0078281350,-0.0062465165,-0.0019918126,0.0421259711,-0.0007072297
3744289673394,-0.0000506102,-0.0000917152,-0.0004520545,0.7023119689,-0.7114436386,-0.0246092967,0.0004796462,0.0009732641,0.0095650954,-0.0071720476,0.0022571575,0.0060517935,-0.0003577764
3744322961994,0.0001040127,-0.0002410221,-0.0006454165,0.7032774873,-0.7104990068,-0.0243172836,0.0007790800,0.0021040989,0.0053671082,-0.0063429121,0.0806780487,0.0265753753,0.0015217676
3744356258294,-0.0000357462,-0.0000944074,-0.0010145322,0.7035410954,-0.7102377964,-0.0243246945,0.0007133981,0.0015714644,0.0056246952,-0.0058539216,0.0223808465,-0.0027189276,-0.0020891614
3744389540994,-0.0001129266,-0.0001605567,-0.0008846951,0.7033896313,-0.7103881701,-0.0243123933,0.0007628290,-0.0002210521,0.0050318409,-0.0054455427,-0.0128944346,0.0024018799,0.0013514627
