#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z []
3743956783894,0.0000000000,0.0000000000,0.0000000000,0.7056595736,-0.7081127218,-0.0249186567,0.0000000000
3743990073194,-0.0000079260,-0.0000161729,-0.0000281599,0.7056862948,-0.7080868121,-0.0248981906,-0.0000022337
3744023360894,-0.0000268273,-0.0000704605,-0.0001228177,0.7057320012,-0.7080416810,-0.0248861501,0.0000069029
3744056650894,-0.0000563942,-0.0001634979,-0.0002866802,0.7057658036,-0.7080083686,-0.0248752949,0.0000089903
3744089938594,-0.0000851991,0.0001827325,-0.0009271552,0.7049889878,-0.7088574483,-0.0224882523,0.0024338322
3744123228294,-0.0003601403,-0.0003819225,-0.0006441593,0.7057046245,-0.7080286692,-0.0259836314,-0.0011123576
3744156518894,-0.0003310274,-0.0002834015,-0.0004663418,0.7019440435,-0.7118120691,-0.0244505663,0.0005548037
3744189806994,-0.0001575467,-0.0002507883,-0.0006246741,0.7020911213,-0.7116612426,-0.0246189708,0.0004892563
3744223094894,-0.0002435232,-0.0003915901,-0.0001583252,0.7022888596,-0.7114464575,-0.0251851061,-0.0000783681
3744256387594,-0.0001789365,-0.0003366919,-0.0002657763,0.7022827575,-0.7114699190,-0.0246842512,0.0004130964
3744289673394,-0.0000506102,-0.0000917152,-0.0004520545,0.7023119689,-0.7114436386,-0.0246092967,0.0004796462
3744322961994,0.0001040127,-0.0002410221,-0.0006454165,0.7032774873,-0.7104990068,-0.0243172836,0.0007790800
3744356258294,-0.0000357462,-0.0000944074,-0.0010145322,0.7035410954,-0.7102377964,-0.0243246945,0.0007133981
3744389540994,-0.0001129266,-0.0001605567,-0.0008846951,0.7033896313,-0.7103881701,-0.0243123933,0.0007628290
3744422829894,-0.0003503453,0.0000705131,-0.0009566940,0.7032003495,-0.7105708210,-0.0244539884,0.0006158141
3744456123994,0.0002452985,0.0004789457,-0.0004933312,0.7002790228,-0.7134487876,-0.0242310918,0.0036016445
3744489407694,0.0008862329,0.0029343779,-0.0014273024,0.6879256181,-0.7250621718,-0.0296435423,0.0128238617
3744522697694,0.0021635653,0.0049978909,-0.0012297229,0.6756187849,-0.7361048594,-0.0347971112,0.0218644557
3744555984894,0.0055722320,0.0052244449,-0.0002281187,0.6645727816,-0.7457775471,-0.0366532438,0.0285553499
3744589274994,0.0133521277,0.0016545778,0.0082113389,0.6516866671,-0.7565336712,-0.0379142540,0.0390359015
3744622563594,0.0233819485,-0.0025857240,0.0198766459,0.6382902887,-0.7669116886,-0.0374729709,0.0550249556
3744655851794,0.0325609855,-0.0057659941,0.0364125147,0.6213628515,-0.7779539654,-0.0072805982,0.0929668078
3744689143094,0.0363362767,-0.0041656345,0.0553539805,0.6088639754,-0.7797759932,0.0417899876,0.1395981979
3744722440894,0.0399796963,-0.0021036472,0.0804915205,0.6051209729,-0.7699673217,0.0892333622,0.1817039865
3744755718894,0.0465626866,0.0011079493,0.1091563925,0.6021527930,-0.7540365661,0.1340798964,0.2255292715
3744789015094,0.0559414886,0.0074583581,0.1388830096,0.5907070978,-0.7398653903,0.1774090303,0.2686826471
3744822297494,0.0638086349,0.0125547685,0.1708659232,0.5821130818,-0.7285638980,0.1987997275,0.3013597103
3744855585894,0.0670392886,0.0160761066,0.2052743882,0.5909907165,-0.7108968428,0.2060968111,0.3207487433
3744888882594,0.0759395957,0.0200134926,0.2410323769,0.6039691296,-0.6885349442,0.2123183513,0.3406784978
3744922164094,0.0929742381,0.0299071595,0.2774544656,0.6105085951,-0.6698367315,0.2195579168,0.3610987810
3744955452894,0.1030854955,0.0369060375,0.3122919202,0.6204625773,-0.6560858286,0.2148976111,0.3720169251
3744988742594,0.1141483560,0.0431364663,0.3458730280,0.6296161462,-0.6440659216,0.2053415046,0.3828804821
3745022031494,0.1222967207,0.0455910750,0.3769732416,0.6422206314,-0.6357197916,0.1868252327,0.3853690953
3745055320794,0.1336411685,0.0453125276,0.4058174789,0.6573850830,-0.6316840381,0.1629327616,0.3771909912
3745088608494,0.1468250751,0.0454675220,0.4337493777,0.6695953340,-0.6380690677,0.1345396882,0.3555404700
3745121898494,0.1551402658,0.0486551821,0.4563517570,0.6734263452,-0.6568397446,0.1036355725,0.3229832436
3745155188594,0.1683638841,0.0520746410,0.4765977561,0.6695869562,-0.6827053413,0.0724509219,0.2834035799
3745188475694,0.1782801300,0.0556291156,0.4898228347,0.6635457075,-0.7102520249,0.0340779488,0.2325679440
3745221770094,0.1896217465,0.0652477518,0.5047081113,0.6726257000,-0.7216337699,-0.0186418829,0.1627017210
3745255084794,0.2055629641,0.0761510283,0.5214670897,0.6847607368,-0.7201577293,-0.0751744495,0.0826098084
3745288343094,0.2282396704,0.0890562758,0.5402348042,0.6864109852,-0.7155658804,-0.1292023438,0.0105917206
3745321638394,0.2516428530,0.1055391505,0.5597585440,0.6791869707,-0.7087741190,-0.1821353804,-0.0563117242
3745354923394,0.2767972648,0.1196727976,0.5766500831,0.6745644638,-0.6937024419,-0.2251957300,-0.1141340853
3745388209894,0.2991244495,0.1351846009,0.5936775804,0.6723853920,-0.6820800279,-0.2446978381,-0.1509559149
3745421505794,0.3181149065,0.1463393569,0.6071179509,0.6713717127,-0.6840674416,-0.2287081922,-0.1703065519
3745454788394,0.3372867107,0.1567229778,0.6232175231,0.6695411575,-0.6966381434,-0.1862773981,-0.1780748903
3745488076794,0.3598273396,0.1648554206,0.6280956864,0.6706737021,-0.7066231693,-0.1372306592,-0.1790201893
3745521372094,0.3785131276,0.1737470329,0.6380715966,0.6736949460,-0.7116259698,-0.0917279392,-0.1769451441
3745554655794,0.3937780261,0.1838005781,0.6519623399,0.6733039102,-0.7177744593,-0.0538695983,-0.1689962616
3745587943994,0.4046356082,0.1911718994,0.6644461155,0.6773314611,-0.7199090266,-0.0173771217,-0.1505028933
3745621273794,0.4138146937,0.1988548785,0.6733530760,0.6859256162,-0.7166535967,0.0128013278,-0.1254981970
3745654522694,0.4173514843,0.2072844654,0.6875208616,0.6934766281,-0.7125775908,0.0345078682,-0.1006605703
3745687810794,0.4160558879,0.2171167880,0.6994572878,0.6944191335,-0.7134319419,0.0467959746,-0.0812838734
3745721100794,0.4132151306,0.2262640595,0.7077649832,0.6925037041,-0.7160837173,0.0521769973,-0.0702872006
3745754395494,0.4050353765,0.2400875688,0.7131381035,0.6834648855,-0.7240709039,0.0507217229,-0.0776169010
3745787678894,0.3964580595,0.2499738187,0.7155718803,0.6647627311,-0.7365377498,0.0355361847,-0.1197490461
3745820966594,0.3955290020,0.2648022473,0.7145732045,0.6385001129,-0.7482556219,-0.0016849219,-0.1800785694
3745854262894,0.3920002878,0.2689577043,0.7221196890,0.5956905167,-0.7634362340,-0.0486070089,-0.2448576803
3745887546294,0.3865298927,0.2751901448,0.7307148576,0.5349542803,-0.7848196197,-0.0885693532,-0.3000625804
3745920833594,0.3795082271,0.2820529938,0.7351774573,0.4629714159,-0.8079534193,-0.1153104894,-0.3457921795
3745954123494,0.3740269840,0.2799684405,0.7328227162,0.3894360558,-0.8240187580,-0.1380163798,-0.3876649633
