#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z [],v_RS_R_x [m s^-1],v_RS_R_y [m s^-1],v_RS_R_z [m s^-1],w_RS_R_x [rad s^-1],w_RS_R_y [rad s^-1],w_RS_R_z [rad s^-1]
1403636858651666432,0.0000000000,0.0000000000,0.0000000000,0.5838956700,-0.0767111910,-0.8081962879,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1403636858701666560,0.0000162572,0.0002350224,-0.0000131624,0.5828091132,-0.0779548536,-0.8088589394,-0.0019479606,0.0022876859,0.0133422203,0.0093356371,0.0305925263,-0.0565799554,-0.0836677416
1403636858751666432,0.0000827935,0.0014006300,0.0013008621,0.5812451166,-0.0790144865,-0.8098733913,-0.0039894087,-0.0012555122,0.0318129845,0.0348079503,0.0363914495,-0.0805347714,-0.0788336473
1403636858801666560,-0.0000932851,0.0035117697,0.0035388423,0.5799930943,-0.0801728544,-0.8106533999,-0.0046248508,-0.0057745576,0.0603027008,0.0637185872,-0.0104282873,-0.0605176308,-0.0500335755
1403636858851666432,0.0046419557,0.0098509248,0.0104632145,0.5789120034,-0.0764831506,-0.8116993675,-0.0124642203,0.0062258020,0.0798689798,0.1015117019,0.3361452984,-0.0851458337,-0.0590749524
1403636858901666560,0.0063429200,0.0143774739,0.0158010330,0.5816393633,-0.0780110968,-0.8095669705,-0.0145341025,0.0146936709,0.0953701511,0.1274585873,0.0412300813,0.1323600735,-0.1027044820
1403636858951666432,0.0076913098,0.0198694598,0.0229312032,0.5821029600,-0.0819801547,-0.8088688928,-0.0129039745,0.0128505360,0.1144093201,0.1443602294,-0.1432786824,0.0386480948,-0.0925121866
1403636859001666560,0.0083774682,0.0255604964,0.0316086635,0.5817635001,-0.0841250560,-0.8088721552,-0.0141435972,0.0090004634,0.1308223158,0.1663426012,-0.0109492735,-0.0140169499,-0.0984256471
1403636859051666432,0.0099910414,0.0307531990,0.0395275466,0.5830789499,-0.0839996294,-0.8078648025,-0.0178174442,0.0311968736,0.1152191162,0.1686713994,0.1267827095,0.0535696897,-0.0840802181
1403636859101666560,0.0105638783,0.0362094976,0.0475860871,0.5802958274,-0.0852985197,-0.8097079166,-0.0188150228,0.0278858170,0.1254867613,0.1651719064,-0.0087227087,-0.1353488095,-0.0610304687
1403636859151666432,0.0118411761,0.0413248129,0.0556197576,0.5776429299,-0.0857750554,-0.8115104963,-0.0205426330,0.0261532385,0.1181472018,0.1502873749,0.0344851311,-0.1333005684,-0.0513817125
1403636859201666560,0.0125944847,0.0461348966,0.0626409575,0.5750149819,-0.0870292147,-0.8132359606,-0.0207595443,0.0210118294,0.1046260968,0.1449103951,-0.0323715133,-0.1248859772,-0.0419617280
1403636859251666432,0.0135784512,0.0506107137,0.0715432540,0.5727976195,-0.0880338493,-0.8146111446,-0.0236983452,0.0126847513,0.0911495686,0.1727157682,0.0636297394,-0.1131564389,-0.0973289097
1403636859301666560,0.0143720414,0.0541923717,0.0816536173,0.5728091361,-0.0897965916,-0.8143181464,-0.0266874924,0.0131257083,0.0757740363,0.2124320567,0.0573301910,-0.0017664758,-0.1269458006
1403636859351666432,0.0159981810,0.0566099584,0.0911537632,0.5752690435,-0.0897488594,-0.8124175072,-0.0314398445,0.0202554502,0.0588405840,0.2578524351,0.1667566249,0.1065541202,-0.1115346327
1403636859401666560,0.0169210974,0.0610345043,0.1080735400,0.5762486974,-0.0906916993,-0.8114982136,-0.0343962754,0.0022322354,0.0632197931,0.3177063465,0.0790517430,0.0435613980,-0.1007370625
1403636859451666432,0.0171152558,0.0660665706,0.1286021173,0.5751723592,-0.0919855750,-0.8120596927,-0.0356996727,-0.0056871139,0.0602403618,0.3667808473,0.0078073323,-0.0508282113,-0.0714866116
