#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z []
1403636858651666432,0.0000000000,0.0000000000,0.0000000000,0.5838956700,-0.0767111910,-0.8081962879,0.0000000000
1403636858701666560,0.0000162572,0.0002350224,-0.0000131624,0.5828091132,-0.0779548536,-0.8088589394,-0.0019479606
1403636858751666432,0.0000827935,0.0014006300,0.0013008621,0.5812451166,-0.0790144865,-0.8098733913,-0.0039894087
1403636858801666560,-0.0000932851,0.0035117697,0.0035388423,0.5799930943,-0.0801728544,-0.8106533999,-0.0046248508
1403636858851666432,0.0046419557,0.0098509248,0.0104632145,0.5789120034,-0.0764831506,-0.8116993675,-0.0124642203
1403636858901666560,0.0063429200,0.0143774739,0.0158010330,0.5816393633,-0.0780110968,-0.8095669705,-0.0145341025
1403636858951666432,0.0076913098,0.0198694598,0.0229312032,0.5821029600,-0.0819801547,-0.8088688928,-0.0129039745
1403636859001666560,0.0083774682,0.0255604964,0.0316086635,0.5817635001,-0.0841250560,-0.8088721552,-0.0141435972
1403636859051666432,0.0099910414,0.0307531990,0.0395275466,0.5830789499,-0.0839996294,-0.8078648025,-0.0178174442
1403636859101666560,0.0105638783,0.0362094976,0.0475860871,0.5802958274,-0.0852985197,-0.8097079166,-0.0188150228
1403636859151666432,0.0118411761,0.0413248129,0.0556197576,0.5776429299,-0.0857750554,-0.8115104963,-0.0205426330
1403636859201666560,0.0125944847,0.0461348966,0.0626409575,0.5750149819,-0.0870292147,-0.8132359606,-0.0207595443
1403636859251666432,0.0135784512,0.0506107137,0.0715432540,0.5727976195,-0.0880338493,-0.8146111446,-0.0236983452
1403636859301666560,0.0143720414,0.0541923717,0.0816536173,0.5728091361,-0.0897965916,-0.8143181464,-0.0266874924
1403636859351666432,0.0159981810,0.0566099584,0.0911537632,0.5752690435,-0.0897488594,-0.8124175072,-0.0314398445
1403636859401666560,0.0169210974,0.0610345043,0.1080735400,0.5762486974,-0.0906916993,-0.8114982136,-0.0343962754
1403636859451666432,0.0171152558,0.0660665706,0.1286021173,0.5751723592,-0.0919855750,-0.8120596927,-0.0356996727
1403636859501666560,0.0164303537,0.0695806444,0.1492450386,0.5720068174,-0.0928365358,-0.8141108690,-0.0375908424
1403636859551666432,0.0151398880,0.0721460506,0.1698218286,0.5689756746,-0.0934382955,-0.8160108746,-0.0407703212
1403636859601666560,0.0131848548,0.0746965855,0.1911592782,0.5678930733,-0.0944236642,-0.8163857251,-0.0457818385
1403636859651666432,0.0111934682,0.0770258307,0.2128398865,0.5692028106,-0.0955024163,-0.8150296382,-0.0511286381
1403636859701666560,0.0084971171,0.0795944780,0.2366345376,0.5727506792,-0.0969268442,-0.8121705532,-0.0542295008
1403636859751666432,0.0059100948,0.0814036056,0.2609055042,0.5768180756,-0.0967859198,-0.8089497224,-0.0592768084
