#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z [],v_RS_R_x [m s^-1],v_RS_R_y [m s^-1],v_RS_R_z [m s^-1],w_RS_R_x [rad s^-1],w_RS_R_y [rad s^-1],w_RS_R_z [rad s^-1]
9901891573408,0.0000000000,0.0000000000,0.0000000000,0.7807548685,0.0004365568,0.6248372946,-0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
9901910079408,-0.0000004087,-0.0000005646,-0.0001102537,0.7807976722,0.0006258054,0.6247836446,-0.0000313430,-0.0000597090,-0.0001240711,-0.0119348615,0.0138499674,-0.0074158854,-0.0154267952
9901928586408,-0.0000004339,-0.0000030567,-0.0004408167,0.7808391911,0.0008179228,0.6247315297,-0.0000659845,0.0000301450,-0.0001138181,-0.0238222480,0.0138686784,-0.0071989906,-0.0158978905
9901947094408,0.0000000808,-0.0000052638,-0.0009906590,0.7808815225,0.0010138540,0.6246783244,-0.0001047437,-0.0000178069,-0.0001314913,-0.0356347412,0.0139116592,-0.0073451268,-0.0165020344
9901965601408,-0.0002196477,0.0005145690,-0.0000695177,0.7802699720,0.0022346077,0.6254375032,0.0013065044,-0.0022500511,0.0052850749,-0.0235561375,0.1983618108,0.1051810746,0.0367585227
9901984107408,-0.0002310311,-0.0006293325,-0.0004818955,0.7786075622,0.0063311864,0.6274603841,0.0048627706,0.0007376740,-0.0136483964,-0.0325579271,0.5859466454,0.2826702536,0.0237098757
9902002614408,-0.0001000588,-0.0003415821,-0.0004566926,0.7744278216,0.0036669205,0.6326460273,0.0026658787,0.0102086365,-0.0072256722,-0.0352877900,-0.3730119903,0.7198593354,0.0015519733
9902021121408,-0.0001085269,-0.0003264122,-0.0004944943,0.7707835664,0.0071172250,0.6370344454,0.0053994695,0.0188637469,-0.0132917929,-0.0363484621,0.4758317855,0.6163354632,-0.0043276506
9902039629408,0.0000658397,-0.0004867538,-0.0007281024,0.7707885038,0.0073900811,0.6370232809,0.0056399276,0.0228554700,-0.0161474980,-0.0420410521,0.0392822791,-0.0012955287,0.0012336583
9902058135408,0.0000753764,-0.0003608039,-0.0009627173,0.7707006868,0.0070255915,0.6371363945,0.0053204516,0.0260436218,-0.0150279580,-0.0476175398,-0.0523556644,0.0155012874,-0.0013756424
9902076642408,-0.0000220797,0.0001571821,-0.0004751416,0.7716419923,0.0046098589,0.6360320144,0.0032651989,0.0245507024,-0.0077934526,-0.0338801444,-0.3427921342,-0.1566221282,-0.0062247533
9902095151408,-0.0000586859,0.0001498997,-0.0005017300,0.7717997657,0.0043414642,0.6358434148,0.0030700444,0.0263939556,-0.0080373343,-0.0337344408,-0.0358031886,-0.0265662201,0.0020242788
9902113658408,-0.0000060167,0.0002336144,-0.0003970620,0.7722142319,0.0042314517,0.6353412360,0.0029645967,0.0274217613,-0.0081212381,-0.0308620110,-0.0164492913,-0.0703514388,-0.0016087338
9902132163408,-0.0000346222,0.0001881378,-0.0002274847,0.7727828249,0.0040827191,0.6346509151,0.0028727803,0.0271461233,-0.0087304935,-0.0268078540,-0.0187568360,-0.0966634728,0.0020521214
9902150671408,-0.0002014152,0.0001061059,0.0001092625,0.7757190931,0.0021947587,0.6310729278,0.0014253097,0.0172454119,-0.0039572446,-0.0147383958,-0.2571149645,-0.5001131800,0.0061132981
9902169177408,-0.0001880822,0.0000316237,0.0000913100,0.7758455988,0.0022501089,0.6309170817,0.0014764499,0.0178767145,-0.0049351505,-0.0151091078,0.0081221133,-0.0216967978,0.0004558630
9902187684408,0.0000075004,0.0000481593,-0.0000213996,0.7758803835,0.0022064016,0.6308745638,0.0014307513,0.0196361877,-0.0042263148,-0.0155040901,-0.0067820441,-0.0059323867,-0.0008673970
9902206191408,-0.0000942541,0.0001657469,0.0000152024,0.7760677221,0.0021937536,0.6306442039,0.0014022535,0.0187249426,-0.0047424473,-0.0147646489,-0.0030124383,-0.0320823506,-0.0016110509
9902224698408,0.0000848034,0.0001570104,-0.0000969155,0.7761635979,0.0021966880,0.6305262012,0.0013976946,0.0193565898,-0.0054326267,-0.0147402836,-0.0000694453,-0.0164291918,-0.0006248313
9902243205408,-0.0000562693,0.0002626706,-0.0000434071,0.7765342607,0.0021132075,0.6300700914,0.0013251986,0.0176590104,-0.0044480157,-0.0139749227,-0.0119610908,-0.0635095763,-0.0005567756
9902261712408,0.0000870516,0.0002017797,-0.0001332038,0.7766868444,0.0020870327,0.6298821062,0.0013123524,0.0173450597,-0.0048539420,-0.0132722091,-0.0030791507,-0.0261655485,0.0006394307
9902280218408,-0.0002243607,0.0002371430,0.0000473515,0.7772986171,0.0019952529,0.6291274329,0.0012457991,0.0132334763,-0.0047472310,-0.0113063129,-0.0122653541,-0.1049898595,0.0004043596
9902298728408,-0.0003298339,0.0002666699,0.0001146547,0.7778275794,0.0019326673,0.6284736659,0.0011716548,0.0104596121,-0.0046804585,-0.0103559010,-0.0103225065,-0.0908575998,-0.0021849133
9902317235408,-0.0001756683,0.0001977022,0.0000322957,0.7779151862,0.0019245990,0.6283652835,0.0011530676,0.0111585930,-0.0048009660,-0.0099818502,-0.0019451834,-0.0150575376,-0.0010481467
9902335740408,-0.0000664767,0.0001452751,-0.0000427181,0.7779987242,0.0018878591,0.6282620258,0.0011171682,0.0106922910,-0.0046416149,-0.0097251888,-0.0055314885,-0.0143519401,-0.0005550615
9902354247408,0.0000206695,0.0001164435,-0.0001057144,0.7781063900,0.0018205977,0.6281289561,0.0010704284,0.0104148593,-0.0041050646,-0.0098319827,-0.0088343615,-0.0184964914,0.0005968411
9902372755408,-0.0001466273,0.0001698734,-0.0000098354,0.7785754078,0.0015289592,0.6275486249,0.0008485593,0.0075342311,-0.0026982471,-0.0083351946,-0.0396067521,-0.0806215128,0.0009714874
9902391261408,-0.0000186846,0.0001350069,-0.0001155226,0.7786361492,0.0014945537,0.6274733592,0.0008347789,0.0075844037,-0.0028625880,-0.0088470504,-0.0038327166,-0.0104535064,0.0011558886
9902409768408,-0.0000061861,0.0001317440,-0.0001166831,0.7788482990,0.0013957585,0.6272103375,0.0007559560,0.0062711439,-0.0024456647,-0.0078527629,-0.0136685948,-0.0365138819,0.0000050578
9902428276408,-0.0000219725,0.0001817122,-0.0001616446,0.7790121278,0.0013103274,0.6270071141,0.0006831167,0.0050015259,-0.0016201440,-0.0080052242,-0.0121351290,-0.0282038340,-0.0003841621
9902446784408,0.0000098573,0.0001666369,-0.0002423008,0.7790677246,0.0013235146,0.6269380208,0.0006685462,0.0046380619,-0.0023381677,-0.0077545932,0.0001201139,-0.0095802917,-0.0021339421
9902465290408,0.0000453309,0.0001511538,-0.0003014115,0.7791109345,0.0013291675,0.6268843142,0.0006645119,0.0043663257,-0.0026254382,-0.0071189250,0.0002003061,-0.0074485969,-0.0007334904
9902483797408,0.0001009840,0.0001579299,-0.0003657250,0.7791517640,0.0013239551,0.6268335909,0.0006519191,0.0048707714,-0.0023324837,-0.0073348694,-0.0012941941,-0.0070353024,-0.0007173714
9902502302408,0.0001624940,0.0001505008,-0.0004304380,0.7791810741,0.0013286753,0.6267971601,0.0006390677,0.0047499496,-0.0026195219,-0.0073420252,-0.0004747797,-0.0050513477,-0.0014092732
9902520809408,0.0002135405,0.0001541930,-0.0004991694,0.7792222207,0.0013189638,0.6267460349,0.0006315695,0.0043974863,-0.0023141943,-0.0061523099,-0.0013280354,-0.0070916505,0.0000162564
9902539316408,0.0002735258,0.0001827076,-0.0005458359,0.7792500352,0.0013033665,0.6267115070,0.0006090397,0.0043953303,-0.0019343868,-0.0063238982,-0.0028409827,-0.0047892848,-0.0008476019
9902557825408,0.0002967888,0.0002099759,-0.0005697707,0.7793028290,0.0013050855,0.6266458696,0.0005929374,0.0034348855,-0.0023616510,-0.0056767627,-0.0009488164,-0.0090996246,-0.0014849754
9902576333408,0.0003187468,0.0002772367,-0.0005876019,0.7793516739,0.0012749092,0.6265852151,0.0005578786,0.0030940962,-0.0014175171,-0.0056413398,-0.0049182796,-0.0084124461,-0.0009206533
9902594840408,0.0003114548,0.0003460901,-0.0005993453,0.7793977614,0.0012609082,0.6265279455,0.0005226158,0.0023798058,-0.0008936325,-0.0047918670,-0.0035698552,-0.0079400980,-0.0020325278
9902613345408,0.0002741236,0.0003935415,-0.0006382727,0.7794472710,0.0012454328,0.6264664043,0.0004949081,0.0014397185,-0.0009349695,-0.0050110072,-0.0031830731,-0.0085336307,-0.0012972744
9902631852408,0.0002475571,0.0004437561,-0.0006729373,0.7794890064,0.0012347142,0.6264145101,0.0004753882,0.0011993943,-0.0007659042,-0.0051219682,-0.0022271995,-0.0071946395,-0.0009277778
9902650365408,0.0002362836,0.0004680525,-0.0007003959,0.7795190259,0.0012308051,0.6263771688,0.0004644983,0.0011315767,-0.0008118125,-0.0043293396,-0.0010682287,-0.0051747618,-0.0006590156
9902668868408,0.0002570066,0.0005041621,-0.0007322853,0.7795326263,0.0012271582,0.6263602613,0.0004492223,0.0011966288,-0.0009235928,-0.0041386001,-0.0013425157,-0.0023435788,-0.0010431562
9902687372408,0.0002675016,0.0005748676,-0.0007674871,0.7795543091,0.0012195593,0.6263333093,0.0004212550,0.0008259402,-0.0001301299,-0.0042117084,-0.0025351983,-0.0037354390,-0.0018465752
9902705880408,0.0003030470,0.0006721688,-0.0007906198,0.7795616895,0.0012132752,0.6263241579,0.0003867333,0.0014304975,0.0004201272,-0.0043357322,-0.0028664401,-0.0012661747,-0.0024843266
9902724386408,0.0003376174,0.0007690148,-0.0007987490,0.7795596182,0.0011868345,0.6263268041,0.0003572183,0.0017210654,0.0008650715,-0.0044595739,-0.0042252852,0.0003659153,-0.0006964530
9902742894408,0.0003731434,0.0007962890,-0.0008138482,0.7795616476,0.0011689298,0.6263243148,0.0003519675,0.0016899793,0.0012871049,-0.0038209658,-0.0018638532,-0.0003470784,0.0007690946
9902761402408,0.0003849327,0.0008084701,-0.0007951438,0.7795766099,0.0011560605,0.6263057193,0.0003445756,0.0011622170,0.0011317604,-0.0030589665,-0.0015855895,-0.0025787133,0.0002453935
9902779909408,0.0003606072,0.0008012219,-0.0007555924,0.7795913732,0.0011534830,0.6262873461,0.0003471408,0.0008248193,0.0008548949,-0.0026069484,-0.0000446898,-0.0025475247,0.0003877257
9902798416408,0.0003404947,0.0007514402,-0.0007190000,0.7796018098,0.0011487538,0.6262743569,0.0003583342,0.0011274489,0.0005391954,-0.0027565388,0.0003583507,-0.0018022480,0.0012610912
9902816924408,0.0003605553,0.0007601866,-0.0007751428,0.7796054216,0.0011533413,0.6262698555,0.0003527823,0.0011912474,0.0004185067,-0.0034608296,0.0000104684,-0.0006227868,-0.0007788840
9902835429408,0.0003746272,0.0007152795,-0.0007344329,0.7796003706,0.0011622353,0.6262761264,0.0003533389,0.0015609496,0.0002879816,-0.0032059206,0.0007874560,0.0008705298,-0.0005541270
9902853936408,0.0004056771,0.0007262002,-0.0007962941,0.7796016660,0.0011668829,0.6262745043,0.0003550744,0.0016538725,0.0006469570,-0.0035875484,0.0005089175,-0.0002243738,-0.0001685885
9902872443408,0.0004251346,0.0007319017,-0.0007179104,0.7796065780,0.0011340271,0.6262684442,0.0003651450,0.0018971632,0.0011890524,-0.0031048409,-0.0020868870,-0.0008455296,0.0030711579
9902890949408,0.0004607553,0.0007544507,-0.0007784351,0.7796046933,0.0011279862,0.6262707987,0.0003694313,0.0018995772,0.0012276988,-0.0035589486,-0.0002187348,0.0003251750,0.0007703674
9902909457408,0.0004423399,0.0007055415,-0.0006947080,0.7796224876,0.0011516963,0.6262486037,0.0003697694,0.0011776565,-0.0002080242,-0.0026184504,0.0020190666,-0.0030731580,-0.0015795294
9902927966408,0.0004640559,0.0007026865,-0.0007478904,0.7796222544,0.0011459553,0.6262489060,0.0003672766,0.0012021242,-0.0000970529,-0.0031402856,-0.0006523112,0.0000413208,0.0001785346
9902946473408,0.0004382702,0.0006542373,-0.0007125286,0.7796469655,0.0011666409,0.6262181065,0.0003622064,0.0007187512,-0.0006180202,-0.0032324451,0.0013978264,-0.0042658221,-0.0018319052
9902964977408,0.0004146455,0.0006800884,-0.0007098220,0.7796615509,0.0011515040,0.6261999842,0.0003462469,0.0004855433,0.0006506499,-0.0038916674,-0.0023568957,-0.0025129186,-0.0003231924
9902983488408,0.0003986142,0.0007389421,-0.0007114223,0.7796719723,0.0011381520,0.6261870424,0.0003288315,0.0003007018,0.0015501588,-0.0038064760,-0.0023038324,-0.0017935981,-0.0005656740
9903001994408,0.0003675771,0.0008120626,-0.0007050517,0.7796914158,0.0011352304,0.6261628412,0.0003218939,-0.0001900994,0.0012166990,-0.0032294202,-0.0007172040,-0.0033543053,-0.0003905285
9903020501408,0.0003464730,0.0008587826,-0.0007009832,0.7796995975,0.0011263815,0.6261526733,0.0003141844,-0.0003212879,0.0012953992,-0.0027184184,-0.0012679353,-0.0014097380,-0.0000523429
9903039005408,0.0002889925,0.0008895395,-0.0006777013,0.7797177001,0.0011264291,0.6261301289,0.0003175888,-0.0011441332,0.0013913361,-0.0023957214,0.0002329745,-0.0031254488,0.0002803222
