#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z []
9901891573408,0.0000000000,0.0000000000,0.0000000000,0.7807548685,0.0004365568,0.6248372946,-0.0000000000
9901910079408,-0.0000004087,-0.0000005646,-0.0001102537,0.7807976722,0.0006258054,0.6247836446,-0.0000313430
9901928586408,-0.0000004339,-0.0000030567,-0.0004408167,0.7808391911,0.0008179228,0.6247315297,-0.0000659845
9901947094408,0.0000000808,-0.0000052638,-0.0009906590,0.7808815225,0.0010138540,0.6246783244,-0.0001047437
9901965601408,-0.0002196477,0.0005145690,-0.0000695177,0.7802699720,0.0022346077,0.6254375032,0.0013065044
9901984107408,-0.0002310311,-0.0006293325,-0.0004818955,0.7786075622,0.0063311864,0.6274603841,0.0048627706
9902002614408,-0.0001000588,-0.0003415821,-0.0004566926,0.7744278216,0.0036669205,0.6326460273,0.0026658787
9902021121408,-0.0001085269,-0.0003264122,-0.0004944943,0.7707835664,0.0071172250,0.6370344454,0.0053994695
9902039629408,0.0000658397,-0.0004867538,-0.0007281024,0.7707885038,0.0073900811,0.6370232809,0.0056399276
9902058135408,0.0000753764,-0.0003608039,-0.0009627173,0.7707006868,0.0070255915,0.6371363945,0.0053204516
9902076642408,-0.0000220797,0.0001571821,-0.0004751416,0.7716419923,0.0046098589,0.6360320144,0.0032651989
9902095151408,-0.0000586859,0.0001498997,-0.0005017300,0.7717997657,0.0043414642,0.6358434148,0.0030700444
9902113658408,-0.0000060167,0.0002336144,-0.0003970620,0.7722142319,0.0042314517,0.6353412360,0.0029645967
9902132163408,-0.0000346222,0.0001881378,-0.0002274847,0.7727828249,0.0040827191,0.6346509151,0.0028727803
9902150671408,-0.0002014152,0.0001061059,0.0001092625,0.7757190931,0.0021947587,0.6310729278,0.0014253097
9902169177408,-0.0001880822,0.0000316237,0.0000913100,0.7758455988,0.0022501089,0.6309170817,0.0014764499
