#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z [],v_RS_R_x [m s^-1],v_RS_R_y [m s^-1],v_RS_R_z [m s^-1],w_RS_R_x [rad s^-1],w_RS_R_y [rad s^-1],w_RS_R_z [rad s^-1]
7669821982615,0.0000000000,0.0000000000,0.0000000000,0.7471224581,-0.6644855662,-0.0163390597,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
7669855271515,-0.0000104729,-0.0000050445,-0.0000495282,0.7471121418,-0.6644971850,-0.0163382568,0.0000082769,-0.0005603703,-0.0004308224,-0.0029470921,-0.0009415079,0.0003563457,0.0003280667
7669888561715,-0.0000349153,-0.0000250649,-0.0001988770,0.7470909219,-0.6645210263,-0.0163389013,0.0000161672,-0.0009801905,-0.0008034706,-0.0058991909,-0.0019249860,0.0002652274,0.0003564934
7669921856015,-0.0000758201,-0.0000573126,-0.0004436648,0.7470819654,-0.6645308470,-0.0163490132,0.0000136534,-0.0015220819,-0.0011723340,-0.0087586343,-0.0007957823,-0.0005629535,0.0002812012
7669955139515,-0.0003505700,-0.0005823449,0.0005195140,0.7462082563,-0.6654637507,-0.0181302579,-0.0015901313,-0.0069907079,-0.0033990804,-0.0014704376,-0.0751915612,-0.1448645791,-0.0017850757
7669988430115,-0.0003546520,-0.0000044522,-0.0006865715,0.7448036189,-0.6670981748,-0.0157249572,0.0005659086,-0.0021982307,0.0049793329,-0.0108147394,-0.1315462212,0.1926527126,-0.0014209245
7670021726915,-0.0003519031,0.0001006668,-0.0007128330,0.7434892178,-0.6685878802,-0.0145369703,0.0016450016,0.0016808015,0.0104450341,-0.0114988964,-0.1203728715,0.0950942854,-0.0006891535
7670055008015,-0.0006579132,-0.0000630619,-0.0005112725,0.7434729645,-0.6685920098,-0.0152238881,0.0009532318,-0.0011658608,0.0111582186,-0.0108866561,-0.0001653103,-0.0584997531,-0.0033106924
7670088298215,-0.0008246719,-0.0002201856,-0.0001508976,0.7440278590,-0.6679389530,-0.0167316311,-0.0003907263,-0.0068403557,0.0097474363,-0.0100850090,0.0527738655,-0.1207837319,0.0010983160
7670121622415,-0.0008307850,-0.0014741891,0.0013125606,0.7466590844,-0.6650079349,-0.0162679605,-0.0001080243,-0.0050157104,-0.0047165314,-0.0035455204,0.2360878007,0.0346110313,-0.0029586223
7670154876515,-0.0005762537,-0.0008485159,0.0003827262,0.7467455038,-0.6649337206,-0.0152852735,0.0008124910,0.0003880871,-0.0024502731,-0.0016102514,0.0058948312,0.0810294341,0.0021069975
7670188166415,-0.0005567538,-0.0007415226,0.0002067434,0.7467572644,-0.6649205644,-0.0152842141,0.0007898934,0.0003128303,-0.0020407811,-0.0008307730,0.0010807409,-0.0008437594,-0.0010446188
