#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z []
7669821982615,0.0000000000,0.0000000000,0.0000000000,0.7471224581,-0.6644855662,-0.0163390597,0.0000000000
7669855271515,-0.0000104729,-0.0000050445,-0.0000495282,0.7471121418,-0.6644971850,-0.0163382568,0.0000082769
7669888561715,-0.0000349153,-0.0000250649,-0.0001988770,0.7470909219,-0.6645210263,-0.0163389013,0.0000161672
7669921856015,-0.0000758201,-0.0000573126,-0.0004436648,0.7470819654,-0.6645308470,-0.0163490132,0.0000136534
7669955139515,-0.0003505700,-0.0005823449,0.0005195140,0.7462082563,-0.6654637507,-0.0181302579,-0.0015901313
7669988430115,-0.0003546520,-0.0000044522,-0.0006865715,0.7448036189,-0.6670981748,-0.0157249572,0.0005659086
7670021726915,-0.0003519031,0.0001006668,-0.0007128330,0.7434892178,-0.6685878802,-0.0145369703,0.0016450016
7670055008015,-0.0006579132,-0.0000630619,-0.0005112725,0.7434729645,-0.6685920098,-0.0152238881,0.0009532318
7670088298215,-0.0008246719,-0.0002201856,-0.0001508976,0.7440278590,-0.6679389530,-0.0167316311,-0.0003907263
7670121622415,-0.0008307850,-0.0014741891,0.0013125606,0.7466590844,-0.6650079349,-0.0162679605,-0.0001080243
7670154876515,-0.0005762537,-0.0008485159,0.0003827262,0.7467455038,-0.6649337206,-0.0152852735,0.0008124910
7670188166415,-0.0005567538,-0.0007415226,0.0002067434,0.7467572644,-0.6649205644,-0.0152842141,0.0007898934
7670221460715,-0.0005416747,-0.0008099113,0.0001705122,0.7467556699,-0.6649221870,-0.0152918885,0.0007828132
7670254745415,-0.0013639563,-0.0010494011,0.0000812214,0.7466538117,-0.6650243613,-0.0158325462,0.0001214841
7670288047815,-0.0012586236,0.0000454619,-0.0017070892,0.7462799048,-0.6654417664,-0.0159223106,0.0001978821
7670321322715,-0.0010642146,0.0005939927,-0.0027453823,0.7467212138,-0.6649577138,-0.0154350771,0.0006527396
7670354628015,-0.0009642098,0.0008327050,-0.0030540701,0.7466552421,-0.6650282886,-0.0155884245,0.0005708547
7670387903615,-0.0010100292,0.0008685610,-0.0030644704,0.7465853672,-0.6651074273,-0.0155586358,0.0005732225
7670421190915,-0.0007115004,0.0007095649,-0.0028204138,0.7467972547,-0.6648726980,-0.0154146923,0.0007368828
7670454481015,-0.0006118899,0.0008848879,-0.0029438485,0.7467690500,-0.6649026687,-0.0154894893,0.0007091474
7670487771015,-0.0004256905,0.0006266012,-0.0025717502,0.7467779210,-0.6648916329,-0.0155360264,0.0006964823
7670521060215,-0.0005722520,0.0003349854,-0.0022524816,0.7468770890,-0.6647793782,-0.0155752127,0.0006363107
7670554349315,-0.0004150728,-0.0000137980,-0.0020203558,0.7469378773,-0.6647149381,-0.0154036285,0.0007660199
7670587637915,-0.0003230054,-0.0002034544,-0.0021242574,0.7470590788,-0.6645786513,-0.0154045023,0.0008064909
7670620928215,-0.0002536992,-0.0001857928,-0.0022637954,0.7472845424,-0.6643262668,-0.0153541546,0.0008209453
7670654220015,0.0002937002,-0.0004604336,-0.0016752991,0.7494340631,-0.6619070919,-0.0149989509,0.0016180938
7670687506015,-0.0002283330,0.0001798949,-0.0017222533,0.7415009954,-0.6706697002,-0.0190412746,0.0039820832
7670720796515,-0.0011507218,-0.0004031927,-0.0039322912,0.7264166553,-0.6869198158,-0.0211282580,-0.0036886640
7670754141715,0.0009046779,-0.0084617808,-0.0045311856,0.6818398143,-0.7303173441,-0.0404128948,-0.0098915294
7670787374215,0.0059761065,-0.0252362769,0.0013986048,0.6111198581,-0.7896433365,-0.0512161136,-0.0193088015
7670820664715,0.0159906931,-0.0440906584,0.0171637926,0.5431836667,-0.8371119823,-0.0590225513,-0.0266715540
7670853960315,0.0300753675,-0.0617554411,0.0405471735,0.4848480004,-0.8729562302,-0.0483301774,-0.0231091030
7670887243115,0.0454063490,-0.0804621130,0.0700739846,0.4194396577,-0.9077457446,0.0008180138,-0.0082077753
7670920532215,0.0631049052,-0.0940778330,0.1050951704,0.3635594937,-0.9291506049,0.0648219080,0.0173714780
7670953827315,0.0874921530,-0.1007911563,0.1444327235,0.3202197426,-0.9386691678,0.1227834176,0.0358293489
7670987112615,0.1191184819,-0.1085155979,0.1845408082,0.2794619638,-0.9441579633,0.1677313500,0.0483005727
7671020399815,0.1540155709,-0.1090181172,0.2256134450,0.2647595258,-0.9393940505,0.2111203790,0.0535667532
7671053689215,0.1904802322,-0.1023631692,0.2703904808,0.2653006650,-0.9292414317,0.2495152836,0.0621935846
7671086979515,0.2259674221,-0.0906054899,0.3147589266,0.2743236858,-0.9185243307,0.2746959764,0.0748444379
7671120274415,0.2630400658,-0.0739633590,0.3612927794,0.2833700618,-0.9137691346,0.2785138034,0.0846016434
7671153557315,0.2939278781,-0.0599071011,0.4095548391,0.2963582102,-0.9141197259,0.2602252508,0.0940199811
7671186847315,0.3159707487,-0.0452977866,0.4589206874,0.3217379483,-0.9082543098,0.2439916975,0.1096670090
7671220137315,0.3185655177,-0.0270212535,0.5136168599,0.3452793007,-0.8978161670,0.2380983196,0.1342293748
7671253426915,0.3345409632,-0.0055465964,0.5632169247,0.3518189613,-0.8876667176,0.2400606751,0.1750488194
7671286714915,0.3374279737,0.0093553066,0.6096907258,0.3518735019,-0.8769985206,0.2465204252,0.2151425421
7671320004315,0.3369464576,0.0254563205,0.6545874476,0.3486899637,-0.8645643949,0.2585045028,0.2532175709
7671353295315,0.3332697749,0.0410603881,0.6976177692,0.3455325333,-0.8488777661,0.2754612004,0.2900602242
7671386585715,0.3264286518,0.0583403967,0.7364475131,0.3503196375,-0.8282528244,0.2938434893,0.3239281005
7671419872315,0.3267769217,0.0758434087,0.7734709382,0.3497183942,-0.8134206586,0.3036541661,0.3519062721
7671453162315,0.3270015419,0.0915932283,0.8060082197,0.3543156506,-0.8032399013,0.3006128518,0.3726902119
7671486460915,0.3185343742,0.1045420468,0.8344782591,0.3768124207,-0.7918866119,0.2934661449,0.3805333300
7671519740215,0.3372306228,0.1254929900,0.8766819835,0.3837641685,-0.7867255039,0.2843225156,0.3910866293
7671553030915,0.3558165133,0.1387948543,0.9205204248,0.3615469533,-0.7951374426,0.2581305133,0.4128061119
7671586333215,0.3465702832,0.1388405412,0.9437823892,0.3418856353,-0.8076818093,0.2342063493,0.4194182796
7671619631815,0.3327610195,0.1375655681,0.9580092430,0.3370706042,-0.8164442538,0.2179575946,0.4150863466
7671652899215,0.3280338943,0.1453914642,0.9847344160,0.3323911334,-0.8219770555,0.1993421110,0.4172919572
7671686193715,0.3263749778,0.1476632655,1.0039153099,0.3284811575,-0.8290882453,0.1711477436,0.4188332132
7671719494615,0.3232591152,0.1453287303,1.0148477554,0.3393981977,-0.8344713859,0.1377084373,0.4117071238
