#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z [],v_RS_R_x [m s^-1],v_RS_R_y [m s^-1],v_RS_R_z [m s^-1],w_RS_R_x [rad s^-1],w_RS_R_y [rad s^-1],w_RS_R_z [rad s^-1]
1520530731400018325,0.0000000000,0.0000000000,0.0000000000,0.9993745904,-0.0333377222,0.0117908553,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1520530731450020325,-0.0001401761,-0.0000622220,-0.0002983911,0.9994408289,-0.0324914579,0.0078682558,-0.0006520471,-0.0078088841,-0.0034519723,-0.0126979351,0.0336089537,-0.1577007302,-0.0212330877
1520530731500021325,-0.0006624666,-0.0002979890,-0.0012122160,0.9995701980,-0.0287433455,0.0043339418,-0.0038021498,-0.0095501002,-0.0036367092,-0.0232224166,0.1489231096,-0.1455240155,-0.1225148143
1520530731550009922,-0.0010881980,-0.0003948590,-0.0025540963,0.9996839501,-0.0243056276,0.0011353217,-0.0063203999,-0.0077062761,-0.0019828065,-0.0310060084,0.1766815470,-0.1315105498,-0.0977840522
1520530731600010922,-0.0004347655,-0.0013063074,-0.0000476709,0.9997785198,-0.0177384103,-0.0084869671,-0.0074987720,-0.0115571916,-0.0065606856,-0.0191427208,0.2602121701,-0.3875812495,-0.0380393911
1520530731650011922,-0.0003910619,-0.0016362831,-0.0003474164,0.9997736883,-0.0177128614,-0.0100328886,-0.0061780108,0.0019360074,-0.0008140288,-0.0182672665,0.0001062290,-0.0608941621,0.0539218182
1520530731700013922,0.0006731248,-0.0015745123,-0.0005606969,0.9997651178,-0.0203666319,-0.0064496767,-0.0036484486,0.0161536373,0.0050201435,-0.0171140805,-0.1062587490,0.1457354393,0.0975502395
1520530731750015922,0.0016183107,-0.0011536106,-0.0005712275,0.9997130468,-0.0235635709,-0.0042168628,-0.0008946213,0.0086371535,0.0079919007,-0.0085834991,-0.1282699018,0.0919848181,0.1074719614
1520530731800016922,0.0017296005,-0.0010230934,-0.0011837904,0.9997107902,-0.0240350666,-0.0005905517,0.0005502888,-0.0080412468,-0.0065602539,-0.0145492367,-0.0189701656,0.1463866521,0.0542813112
1520530731850101922,0.0010598092,-0.0015972637,-0.0024072535,0.9997378777,-0.0226556221,0.0026980984,-0.0019023709,-0.0104264338,-0.0165194329,-0.0179403257,0.0550799486,0.1289621372,-0.1010362951
1520530731900019922,-0.0005138529,-0.0029978363,-0.0034786030,0.9997204022,-0.0221603389,0.0034599312,-0.0074876999,-0.0287721027,-0.0430729948,-0.0139214303,0.0192771950,0.0254097626,-0.2244691007
1520530731950036027,-0.0031491790,-0.0057499306,-0.0042074509,0.9995816012,-0.0235475983,0.0034951948,-0.0164291425,-0.0400573350,-0.0639671460,-0.0159127172,-0.0568072813,-0.0060790839,-0.3573283219
1520530732000037027,-0.0040699565,-0.0073792841,-0.0046223281,0.9995299621,-0.0240549819,-0.0025561205,-0.0188329239,0.0147425365,0.0059900405,-0.0068679042,-0.0246479571,-0.2438716726,-0.0903731052
1520530732050039027,-0.0024148307,-0.0061238711,-0.0053048558,0.9996777734,-0.0198888648,-0.0050417618,-0.0149453328,0.0298501663,0.0365021452,-0.0059766257,0.1644331001,-0.0987582587,0.1583542324
1520530732100040027,-0.0007408138,-0.0047340081,-0.0055477265,0.9997927674,-0.0151694550,-0.0049979419,-0.0126226138,0.0218203627,0.0203763563,0.0115341162,0.1883619211,0.0008019325,0.0938630290
1520530732150042027,0.0003223580,-0.0037058564,-0.0046131220,0.9997849063,-0.0149079490,-0.0068340512,-0.0126960625,0.0266822502,0.0278747026,0.0162946600,0.0095405498,-0.0736044259,-0.0017748460
1520530732200044027,0.0014109509,-0.0022407821,-0.0038243949,0.9997861740,-0.0153071420,-0.0071810035,-0.0119050748,0.0197613314,0.0243843179,0.0023730940,-0.0163553035,-0.0131998261,0.0317298515
1520530732250045027,0.0020325030,-0.0011299856,-0.0037061572,0.9997847696,-0.0162974205,-0.0033024473,-0.0124057429,0.0134824906,0.0259318482,-0.0029536560,-0.0376120873,0.1552710103,-0.0226819527
1520530732300047027,0.0029760115,0.0004991897,-0.0034385882,0.9998047871,-0.0170063506,-0.0016020582,-0.0099300080,0.0151780210,0.0361462384,0.0047596823,-0.0278202357,0.0699665976,0.0978121315
1520530732350048027,0.0036303445,0.0019844924,-0.0032101094,0.9998537888,-0.0142804980,-0.0009072464,-0.0093619088,-0.0011722140,0.0254782420,0.0055817203,0.1092836889,0.0270934243,0.0224406101
1520530732400058378,0.0037163419,0.0033603471,-0.0028972004,0.9998869044,-0.0106636460,-0.0021528634,-0.0103841300,0.0084715197,0.0323540568,0.0041015777,0.1442130080,-0.0517439551,-0.0400195146
1520530732450059378,0.0042862697,0.0052676382,-0.0033160346,0.9999110843,-0.0068523573,-0.0044132919,-0.0105542160,0.0110675385,0.0427509919,-0.0155628836,0.1515178308,-0.0920589190,-0.0055001513
1520530732500061378,0.0046542790,0.0071930368,-0.0038157681,0.9999026532,-0.0045046826,-0.0062272493,-0.0116453097,0.0064956425,0.0393135436,0.0034885821,0.0933195644,-0.0738406802,-0.0427301542
1520530732550063378,0.0052547036,0.0092843100,-0.0030629544,0.9998660625,-0.0052585751,-0.0112481275,-0.0106622744,0.0062197815,0.0465803817,0.0124493307,-0.0327418420,-0.2002892699,0.0400160309
1520530732600064378,0.0054172766,0.0115762940,-0.0020129466,0.9998175130,-0.0053842809,-0.0162435550,-0.0084910050,-0.0073909182,0.0477608964,0.0187980123,-0.0081450646,-0.1992988580,0.0878113093
1520530732650066378,0.0051860698,0.0136145838,-0.0009188303,0.9998155551,-0.0057269700,-0.0166620506,-0.0076441958,-0.0018503278,0.0354330353,0.0184415523,-0.0143972543,-0.0164386151,0.0337316502
1520530732700067378,0.0052981614,0.0151464995,-0.0000952557,0.9998196599,-0.0059861273,-0.0160608677,-0.0081769467,0.0166552607,0.0275770258,0.0177615136,-0.0098243547,0.0240023378,-0.0216148627
1520530732750069378,0.0059452341,0.0165933091,0.0010433050,0.9998417699,-0.0067118976,-0.0148529852,-0.0071256218,0.0148648676,0.0282516517,0.0194509104,-0.0292994623,0.0488079836,0.0412955306
1520530732800092992,0.0069956612,0.0177867487,0.0022179545,0.9998917858,-0.0071428248,-0.0116661178,-0.0054127968,0.0193988960,0.0216647368,0.0151013937,-0.0173220755,0.1280067450,0.0673731275
1520530732850093992,0.0081155160,0.0188066512,0.0029862737,0.9999284418,-0.0065802371,-0.0085474883,-0.0051722590,0.0226570610,0.0192930568,0.0101717152,0.0230740995,0.1246934191,0.0089997381
1520530732900095992,0.0093624294,0.0196567606,0.0033763219,0.9999487006,-0.0052877090,-0.0076603998,-0.0039943292,0.0256963857,0.0136239547,0.0035702288,0.0514815273,0.0355291596,0.0473245736
1520530732950096992,0.0106685748,0.0200201571,0.0030686851,0.9999518198,-0.0033610491,-0.0083604206,-0.0038941879,0.0253967326,0.0044596950,-0.0027098285,0.0769190883,-0.0282845419,0.0047442734
1520530733000098992,0.0119937025,0.0201850254,0.0025715118,0.9999569661,-0.0028920875,-0.0083492812,-0.0028268733,0.0273908414,0.0056162509,-0.0063543888,0.0184023260,0.0005176970,0.0428449565
1520530733050099992,0.0134945903,0.0205402020,0.0024800438,0.9999572145,-0.0049081801,-0.0077523339,-0.0011748423,0.0314903781,0.0089941928,-0.0046971347,-0.0811229094,0.0242955763,0.0653348208
1520530733100101992,0.0153873973,0.0209894460,0.0026996662,0.9999507319,-0.0068192652,-0.0072129078,-0.0000729149,0.0357324593,0.0132704964,-0.0035679296,-0.0767547527,0.0218794014,0.0433746895
1520530733150103992,0.0173114333,0.0217275396,0.0029056736,0.9999339846,-0.0087870999,-0.0073844434,0.0005323540,0.0363154821,0.0135652870,-0.0003616899,-0.0788861099,-0.0066948180,0.0236876220
1520530733200103799,0.0190914646,0.0222497806,0.0030068448,0.9999048462,-0.0115849857,-0.0074360862,0.0008895852,0.0334530063,0.0084923813,-0.0030522756,-0.1120232850,-0.0020082116,0.0134807127
1520530733250105799,0.0207923055,0.0225011110,0.0031621892,0.9998662412,-0.0146421781,-0.0072859079,0.0001481464,0.0330683477,0.0062801479,-0.0071601127,-0.1220740735,0.0055425009,-0.0306311177
