#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z []
1520530731400018325,0.0000000000,0.0000000000,0.0000000000,0.9993745904,-0.0333377222,0.0117908553,0.0000000000
1520530731450020325,-0.0001401761,-0.0000622220,-0.0002983911,0.9994408289,-0.0324914579,0.0078682558,-0.0006520471
1520530731500021325,-0.0006624666,-0.0002979890,-0.0012122160,0.9995701980,-0.0287433455,0.0043339418,-0.0038021498
1520530731550009922,-0.0010881980,-0.0003948590,-0.0025540963,0.9996839501,-0.0243056276,0.0011353217,-0.0063203999
1520530731600010922,-0.0004347655,-0.0013063074,-0.0000476709,0.9997785198,-0.0177384103,-0.0084869671,-0.0074987720
1520530731650011922,-0.0003910619,-0.0016362831,-0.0003474164,0.9997736883,-0.0177128614,-0.0100328886,-0.0061780108
1520530731700013922,0.0006731248,-0.0015745123,-0.0005606969,0.9997651178,-0.0203666319,-0.0064496767,-0.0036484486
1520530731750015922,0.0016183107,-0.0011536106,-0.0005712275,0.9997130468,-0.0235635709,-0.0042168628,-0.0008946213
1520530731800016922,0.0017296005,-0.0010230934,-0.0011837904,0.9997107902,-0.0240350666,-0.0005905517,0.0005502888
1520530731850101922,0.0010598092,-0.0015972637,-0.0024072535,0.9997378777,-0.0226556221,0.0026980984,-0.0019023709
1520530731900019922,-0.0005138529,-0.0029978363,-0.0034786030,0.9997204022,-0.0221603389,0.0034599312,-0.0074876999
1520530731950036027,-0.0031491790,-0.0057499306,-0.0042074509,0.9995816012,-0.0235475983,0.0034951948,-0.0164291425
1520530732000037027,-0.0040699565,-0.0073792841,-0.0046223281,0.9995299621,-0.0240549819,-0.0025561205,-0.0188329239
1520530732050039027,-0.0024148307,-0.0061238711,-0.0053048558,0.9996777734,-0.0198888648,-0.0050417618,-0.0149453328
1520530732100040027,-0.0007408138,-0.0047340081,-0.0055477265,0.9997927674,-0.0151694550,-0.0049979419,-0.0126226138
1520530732150042027,0.0003223580,-0.0037058564,-0.0046131220,0.9997849063,-0.0149079490,-0.0068340512,-0.0126960625
1520530732200044027,0.0014109509,-0.0022407821,-0.0038243949,0.9997861740,-0.0153071420,-0.0071810035,-0.0119050748
1520530732250045027,0.0020325030,-0.0011299856,-0.0037061572,0.9997847696,-0.0162974205,-0.0033024473,-0.0124057429
1520530732300047027,0.0029760115,0.0004991897,-0.0034385882,0.9998047871,-0.0170063506,-0.0016020582,-0.0099300080
1520530732350048027,0.0036303445,0.0019844924,-0.0032101094,0.9998537888,-0.0142804980,-0.0009072464,-0.0093619088
1520530732400058378,0.0037163419,0.0033603471,-0.0028972004,0.9998869044,-0.0106636460,-0.0021528634,-0.0103841300
1520530732450059378,0.0042862697,0.0052676382,-0.0033160346,0.9999110843,-0.0068523573,-0.0044132919,-0.0105542160
1520530732500061378,0.0046542790,0.0071930368,-0.0038157681,0.9999026532,-0.0045046826,-0.0062272493,-0.0116453097
1520530732550063378,0.0052547036,0.0092843100,-0.0030629544,0.9998660625,-0.0052585751,-0.0112481275,-0.0106622744
1520530732600064378,0.0054172766,0.0115762940,-0.0020129466,0.9998175130,-0.0053842809,-0.0162435550,-0.0084910050
