#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z []
7465126453394,-0.0000130204,0.0000026901,-0.0000489941,0.7410416603,-0.6713814735,-0.0102036828,0.0000046452
7465159742594,-0.0000461443,0.0000068179,-0.0001977691,0.7410318851,-0.6713923216,-0.0102001624,0.0000164329
7465193037794,-0.0001022530,0.0000145011,-0.0004379977,0.7410244346,-0.6714006066,-0.0101952069,0.0000175214
7465226321594,0.0006849268,-0.0001377735,-0.0003706951,0.7389051914,-0.6737454534,-0.0092312833,0.0009834262
7465259611794,0.0004134772,0.0001095689,-0.0012941618,0.7377041578,-0.6750066876,-0.0124428691,-0.0019423220
7465292898794,0.0005378533,0.0004016701,-0.0017543604,0.7376489639,-0.6750769615,-0.0119553860,-0.0014505064
7465326188294,0.0003652645,0.0005958637,-0.0020509206,0.7377547622,-0.6749722362,-0.0113803707,-0.0009610950
7465359478694,0.0006764561,0.0009078203,-0.0023835697,0.7376675010,-0.6750833988,-0.0104409214,-0.0000466498
7465392767994,0.0008008110,0.0007300251,-0.0022062394,0.7389953732,-0.6736374497,-0.0099114813,0.0004374897
7465426056294,0.0009750738,0.0006494294,-0.0022624447,0.7398157716,-0.6727392077,-0.0097039761,0.0006555878
7465459346694,0.0011176176,0.0010940876,-0.0026917716,0.7395141721,-0.6730735898,-0.0094886450,0.0008700209
7465492636594,0.0010668786,0.0014944441,-0.0032907152,0.7396112680,-0.6729655266,-0.0095935445,0.0007376506
7465525926094,0.0010247632,0.0014945418,-0.0034543662,0.7404510379,-0.6720408797,-0.0096335458,0.0006692159
7465559214494,0.0012416199,0.0012086524,-0.0027431950,0.7403282523,-0.6721791625,-0.0094042253,0.0009395797
7465592503494,0.0012579144,0.0007725856,-0.0018751749,0.7402758598,-0.6722368002,-0.0094092945,0.0009238056
7465625799994,0.0014336492,0.0008421844,-0.0017968437,0.7405462861,-0.6719369292,-0.0095521379,0.0008155451
7465659082094,0.0011755014,0.0006039431,-0.0014824170,0.7408391833,-0.6716108322,-0.0097922003,0.0005454939
7465692371694,0.0009903394,0.0000850009,-0.0006901043,0.7408619523,-0.6715868711,-0.0097087119,0.0005762874
7465725667494,0.0009149347,-0.0001382856,-0.0004474501,0.7409290075,-0.6715132594,-0.0096827494,0.0006003269
7465758950894,0.0009181450,-0.0000906944,-0.0004627944,0.7409636974,-0.6714739203,-0.0097623672,0.0005515628
7465792239894,0.0011942661,0.0006775346,-0.0016314884,0.7410256863,-0.6714047790,-0.0098024486,0.0006244067
7465825536094,0.0010885672,0.0007548433,-0.0015797379,0.7410510778,-0.6713770032,-0.0097875884,0.0006048459
7465858822394,0.0008533439,0.0005424058,-0.0013586729,0.7410891652,-0.6713352799,-0.0097729936,0.0005616253
7465892129894,0.0009966680,0.0006445810,-0.0014669341,0.7410736680,-0.6713533401,-0.0097030746,0.0006367737
7465925404594,0.0010754920,0.0004841295,-0.0012417766,0.7410836220,-0.6713432074,-0.0096346401,0.0006938605
7465958686294,0.0011802227,0.0006628674,-0.0013561733,0.7408794761,-0.6715674996,-0.0097023537,0.0007210574
7465991989594,0.0010779293,0.0008085801,-0.0017773855,0.7403482199,-0.6721461415,-0.0101487357,0.0010688467
7466025264894,0.0009733934,0.0011129939,-0.0023177608,0.7399780154,-0.6725443006,-0.0107233580,0.0013050545
7466058554294,0.0010713999,0.0007533347,-0.0020981119,0.7406218648,-0.6718373895,-0.0105615705,0.0015044035
7466091845194,0.0013119641,0.0007659183,-0.0020291132,0.7415269017,-0.6708410978,-0.0103299245,0.0018358201
7466125134394,0.0013536060,0.0010376788,-0.0022949402,0.7412000895,-0.6712011099,-0.0103729805,0.0019572412
7466158422994,0.0011269295,0.0019305194,-0.0032398275,0.7377482057,-0.6749506593,-0.0126729086,0.0029233911
7466191713994,0.0004780557,0.0029520520,-0.0039171744,0.7345296741,-0.6783556938,-0.0164503846,0.0053977347
7466225003394,0.0005733912,0.0039097234,-0.0045059687,0.7288466096,-0.6844328642,-0.0168180913,0.0071657384
7466258291294,0.0008769621,0.0051402827,-0.0050106142,0.7186833024,-0.6950702667,-0.0155979414,0.0113277398
7466291581494,0.0031154237,0.0055000479,-0.0062907632,0.6998062134,-0.7141331434,-0.0119966092,0.0118796956
7466324869494,0.0072077964,0.0023155520,-0.0063030990,0.6716078520,-0.7408130169,-0.0103774294,0.0055940496
7466358195394,0.0129147954,-0.0027619298,-0.0038273132,0.6424284577,-0.7662348747,-0.0110152029,-0.0069628470
7466391448094,0.0199413113,-0.0100809541,0.0027103885,0.6166269183,-0.7869641185,-0.0101624895,-0.0188528243
7466424737994,0.0270034503,-0.0182310008,0.0130925700,0.5992022157,-0.8001860380,-0.0057259356,-0.0250242148
7466458034094,0.0346927233,-0.0259778462,0.0266909972,0.5916264653,-0.8058313727,0.0033644801,-0.0245475583
7466491318694,0.0431842729,-0.0337494127,0.0455241874,0.5877915621,-0.8084235191,0.0177493021,-0.0252480451
7466524605794,0.0578542389,-0.0397607349,0.0638997406,0.5863682032,-0.8089752793,0.0289280098,-0.0299084689
7466557902394,0.0770875812,-0.0457386337,0.0855566487,0.5847586989,-0.8094574809,0.0385215580,-0.0367684364
7466591185594,0.0996931717,-0.0513865799,0.1086219773,0.5789139867,-0.8129175901,0.0472571477,-0.0423118919
7466624474194,0.1249195039,-0.0567182973,0.1316232085,0.5723694563,-0.8169384599,0.0539346933,-0.0457800217
7466657770694,0.1519197375,-0.0615747981,0.1551616937,0.5658355951,-0.8209239841,0.0584746115,-0.0499461405
