#exposure,usb_transfer_done,sent_to_basalt,flushed,cam_index,source_sequence
7465093169994,7465096758343,7465098743091,7465149108490,0,0
7465093169994,7465098742279,7465099196420,7465149108490,1,0
7465126453394,7465139689045,7465147737522,7465184653967,0,1
7465126453394,7465147735237,7465150078367,7465184653967,1,1
7465159742594,7465164087891,7465168111879,7465198871280,0,2
7465159742594,7465168110777,7465168981147,7465198871280,1,2
7465193037794,7465195764781,7465198289640,7465218740781,0,3
7465193037794,7465198288628,7465198938806,7465218740781,1,3
7465226321594,7465228708764,7465230602201,7465252709394,0,4
7465226321594,7465230601450,7465231064237,7465252709394,1,4
7465259611794,7465262216874,7465264169603,7465286399796,0,5
7465259611794,7465264168841,7465264342877,7465286399796,1,5
7465292898794,7465295616001,7465297416313,7465319912104,0,6
7465292898794,7465297415421,7465297598595,7465319912104,1,6
7465326188294,7465328676963,7465330628168,7465353442446,0,7
7465326188294,7465330627417,7465330801153,7465353442446,1,7
7465359478694,7465361843965,7465363666980,7465386900443,0,8
7465359478694,7465363665888,7465363840916,7465386900443,1,8
7465392767994,7465395247369,7465397062008,7465420480878,0,9
7465392767994,7465397059564,7465397241344,7465420480878,1,9
7465426056294,7465428567778,7465430459291,7465453777032,0,10
7465426056294,7465430458540,7465430633157,7465453777032,1,10
7465459346694,7465461830679,7465463743572,7465504352945,0,11
7465459346694,7465463742610,7465463917187,7465504352945,1,11
7465492636594,7465503336511,7465510755439,7465551964676,0,12
7465492636594,7465510753104,7465511374739,7465551964676,1,12
7465525926094,7465530076843,7465534290867,7465564517190,0,13
7465525926094,7465534288633,7465535202706,7465564517190,1,13
7465559214494,7465561930214,7465564269206,7465585795110,0,14
7465559214494,7465564267082,7465564618159,7465585795110,1,14
7465592503494,7465595127582,7465597270366,7465619129885,0,15
7465592503494,7465597269174,7465597448059,7465619129885,1,15
7465625799994,7465628398518,7465630185065,7465652445445,0,16
7465625799994,7465630184143,7465630361766,7465652445445,1,16
7465659082094,7465661525274,7465663286614,7465685945771,0,17
7465659082094,7465663285502,7465663462754,7465685945771,1,17
