#sampled,frames_original_timestamp,frames_read_started,frames_read,frames_pushed,frontend_frames_received,frontend_preintegration_computed,frontend_pyramid_created,frontend_tracking_ended,frontend_recall_ended,frontend_detection_cam0_ended,frontend_matching_ended,frontend_detection_cami_ended,frontend_filter_ended,frontend_keypoints_pushed,backend_keypoints_received,backend_observations_processed,backend_cumulative_linearization_ended,backend_cumulative_solver_ended,backend_cumulative_backsubstitution_ended,backend_cumulative_error_computed,backend_optimization_ended,backend_marginalization_ended,backend_state_pushed,consumer_state_received,consumer_state_pushed,vit_consumer_pose_received,received_by_monado
7465093169994,7465093169994,36355637756059,36355638615289,36355638615479,36355638649022,36355638649944,36355642917238,36355642917398,36355642917619,36355663107229,36355678811168,36355685959368,36355686035821,36355686036292,36355686138223,36355687130422,36355687131303,36355687131303,36355687131303,36355687131303,36355687149668,36355687150269,36355687194802,36355687237382,36355687414273,36355688116168,36355688738444
7465126453394,7465126453394,36355686750600,36355690398263,36355690398504,36355690459548,36355690575145,36355694589906,36355706912379,36355706916266,36355708048868,36355709587190,36355712489978,36355712501639,36355712501920,36355712536625,36355712653855,36355712654265,36355712654265,36355712654265,36355712654265,36355712655728,36355712656259,36355712670917,36355712707846,36355712712094,36355723661655,36355723723421
7465159742594,7465159742594,36355707123415,36355708864917,36355708865107,36355712507621,36355712572412,36355713667163,36355722075794,36355722082617,36355722810451,36355723951468,36355726283787,36355726292113,36355726292434,36355726319685,36355726409603,36355726409683,36355726409683,36355726409683,36355726409683,36355726410865,36355726411487,36355726420994,36355726448756,36355726451672,36355737879119,36355737931457
7465193037794,7465193037794,36355737300575,36355738543834,36355738543974,36355738577497,36355738638581,36355739513761,36355745804666,36355745806900,36355746423425,36355747441251,36355749321834,36355749340690,36355749340990,36355749370525,36355749487074,36355749487455,36355749487455,36355749487455,36355749487455,36355749488987,36355749489268,36355749501391,36355749529593,36355749531968,36355757748550,36355757802501
7465226321594,7465226321594,36355769613016,36355770522499,36355770522710,36355770546133,36355770606887,36355771292021,36355776106991,36355776109225,36355776489928,36355777110440,36355778558964,36355778565726,36355778565887,36355778589751,36355778674470,36355779037551,36355779980968,36355780031984,36355780115892,36355780578577,36355780722176,36355780727396,36355780761049,36355780773442,36355791717153,36355791773749
7465259611794,7465259611794,36355803179816,36355803519282,36355803519402,36355803546312,36355803592689,36355804285156,36355809226964,36355809229028,36355809697505,36355810330922,36355811765359,36355811771821,36355811771971,36355811797479,36355811893619,36355812214312,36355812828242,36355812874809,36355812957254,36355813220144,36355813288372,36355813293161,36355813327185,36355813329429,36355825407535,36355825463329
7465292898794,7465292898794,36355836426376,36355836775310,36355836775490,36355836801148,36355836850841,36355837574787,36355842845601,36355842847695,36355843313307,36355843866484,36355846107822,36355846115216,36355846115727,36355846142718,36355846286457,36355846543689,36355847057410,36355847094350,36355847144994,36355847381178,36355847432504,36355847436922,36355847468441,36355847470265,36355858919843,36355858975467
7465326188294,7465326188294,36355869638562,36355869977457,36355869977577,36355870010599,36355870059571,36355870705601,36355875887588,36355875889532,36355876445323,36355877110690,36355878549234,36355878556518,36355878556658,36355878578609,36355878801267,36355879003246,36355879444611,36355879486055,36355879543632,36355879736008,36355879778938,36355879783487,36355879807982,36355879810086,36355892450225,36355892499908
7465359478694,7465359478694,36355902676993,36355903022750,36355903022871,36355903037568,36355903083945,36355903791681,36355909147674,36355909149988,36355909657850,36355910435957,36355911966144,36355911972586,36355911972756,36355911982204,36355912093112,36355912348671,36355912885337,36355912921405,36355912977170,36355913198973,36355913247504,36355913251572,36355913275196,36355913278061,36355925908221,36355925955760
7465392767994,7465392767994,36355936077451,36355936417889,36355936418039,36355936441062,36355936487369,36355937207729,36355943190356,36355943193832,36355943704409,36355944221047,36355945746975,36355945753167,36355945753377,36355945764117,36355945904721,36355946213718,36355946696643,36355946740544,36355946803753,36355947052952,36355947104428,36355947108225,36355947131749,36355947133522,36355959488567,36355959546445
7465426056294,7465426056294,36355969469905,36355969961746,36355969961937,36355969986553,36355970042307,36355970653382,36355976422880,36355976425675,36355976932314,36355977653405,36355979230650,36355979236801,36355979237332,36355979262880,36355979366184,36355979832858,36355980573343,36355980647841,36355980779006,36355981074934,36355981169512,36355981174391,36355981199097,36355981201341,36355992784801,36355992832510
7465459346694,7465459346694,36356002754066,36356003098441,36356003098561,36356003122927,36356003170406,36356003855810,36356009214518,36356009217924,36356009949234,36356013564898,36356031984884,36356032068851,36356032069712,36356032150754,36356032732634,36356034143707,36356036916712,36356037252850,36356037716679,36356038953087,36356039268458,36356039283786,36356039415664,36356039420162,36356043360473,36356043556090
7465492636594,7465492636594,36356049768247,36356050953056,36356050953307,36356051026243,36356051210158,36356053276910,36356066834517,36356066844746,36356067810295,36356069495171,36356072719371,36356072758394,36356072758785,36356072796245,36356072927962,36356073547542,36356074609962,36356074721019,36356074922837,36356075409961,36356075548651,36356075556716,36356075577425,36356075580711,36356090972174,36356091052394
7465525926094,7465525926094,36356073301932,36356075148622,36356075148812,36356075200970,36356075269498,36356076480457,36356085232882,36356085238473,36356086037640,36356087421883,36356089850082,36356089865631,36356089866022,36356089895978,36356089998750,36356090417205,36356091093961,36356091194399,36356091332247,36356091672476,36356091748448,36356091754489,36356091771150,36356091788282,36356103523987,36356103611351
7465559214494,7465559214494,36356103281573,36356103879433,36356103879613,36356103934235,36356104039653,36356104912107,36356111215846,36356111219433,36356111829155,36356112622872,36356114425539,36356114436299,36356114436569,36356114470423,36356114800010,36356115184110,36356115887057,36356115947840,36356116061543,36356116356646,36356116436045,36356116443829,36356116468466,36356116473806,36356124802858,36356124861448
